headword,meaning
about,সম্পর্কে, প্রায়
above,উপরে, উপরে উল্লিখিত
accept,গ্রহণ করা, স্বীকার করা
active,সক্রিয়, কর্মঠ
address,ঠিকানা, ভাষণ দেওয়া
agree,একমত হওয়া, রাজী হওয়া
allow,অনুমতি দেওয়া, গ্রাহ্য করা
ancient,প্রাচীন, পুরাতন
angry,রাগান্বিত, ক্রুদ্ধ
animal,প্রাণী, জন্তু
answer,উত্তর, জবাব দেওয়া
arrive,পৌঁছানো, আগমন করা
artificial,কৃত্রিম, অপ্রাকৃতিক
ask,জিজ্ঞাসা করা, অনুনয় করা
assist,সাহায্য করা, সহায়তা করা
avoid,এড়িয়ে চলা, বর্জন করা
beautiful,সুন্দর, চমৎকার
begin,শুরু করা, আরম্ভ করা
believe,বিশ্বাস করা, আস্থা রাখা
benevolent,পরোপকারী, হিতৈষী
brave,সাহসী, বীরত্বপূর্ণ
bright,উজ্জ্বল, দীপ্তিময়
build,নির্মাণ করা, গঠন করা
busy,ব্যস্ত, কর্মব্যস্ত
calm,শান্ত, ধীর
careful,সতর্ক, যত্নশীল
cheap,সস্তা, সুলভ
clean,পরিষ্কার, পরিচ্ছন্ন
clear,স্পষ্ট, পরিষ্কার
clever,চালাক, চতুর
cold,ঠান্ডা, শীতল
collect,সংগ্রহ করা, একত্র করা
comfort,আরাম, সান্ত্বনা
common,সাধারণ, সাধারণ বিষয়
compare,তুলনা করা, সাদৃশ্য দেখানো
complete,সম্পূর্ণ, সমাপ্ত করা
confirm,নিশ্চিত করা, দৃঢ় করা
connect,সংযুক্ত করা, যুক্ত করা
continue,চালিয়ে যাওয়া, অবিরত থাকা
control,নিয়ন্ত্রণ, পরিচালনা করা
courage,সাহস, বীরত্ব
create,সৃষ্টি করা, তৈরি করা
cruel,নিষ্ঠুর, অমানষিক
danger,বিপদ, ঝুঁকি
dark,অন্ধকার, কালচে
decide,সিদ্ধান্ত নেওয়া, নিষ্পত্তি করা
deep,গভীর, নিবিড়
defeat,পরাজয়, পরাস্ত করা
delicious,সুস্বাদু, চমৎকার স্বাদ
deliver,বিতরণ করা, পৌঁছানো
describe,বর্ণনা করা, বিবৃত করা
destroy,ধ্বংস করা, নষ্ট করা
different,ভিন্ন, পৃথক
difficult,কঠিন, জটিল
dirty,নোংরা, অপরিষ্কার
discover,আবিষ্কার করা, খুঁজে বের করা
divide,ভাগ করা, বিভক্ত করা
dry,শুকনো, শুষ্ক
dull,নিস্তেজ, একঘেয়ে
early,তাড়াতাড়ি, শীঘ্র
earth,পৃথিবী, মাটি
easy,সহজ, সরল
educate,শিক্ষা দেওয়া, শিক্ষিত করা
effort,প্রচেষ্টা, উদ্যোগ
elegant,মার্জিত, সুরুচিপূর্ণ
empty,খালি, শূন্য
encourage,উৎসাহিত করা, সাহস দেওয়া
enemy,শত্রু, বিরোধী
energy,শক্তি, উদ্যম
enjoy,উপভোগ করা, আনন্দ পাওয়া
enough,যথেষ্ট, প্রচুর
enter,প্রবেশ করা, ভেতরে যাওয়া
equal,সমান, তুল্য
escape,পলায়ন, মুক্তি পাওয়া
establish,প্রতিষ্ঠা করা, স্থাপন করা
eternal,অনন্ত, চিরন্তন
excellent,চমৎকার, চমৎকার গুণসম্পন্ন
excite,উত্তেজিত করা, উদ্বুদ্ধ করা
excuse,অজুহাত, ক্ষমা করা
expect,আশা করা, প্রতীক্ষা করা
expensive,ব্যয়বহুল, দামী
experience,অভিজ্ঞতা, পারদর্শিতা
explain,ব্যাখ্যা করা, বুঝিয়ে দেওয়া
explore,অনুসন্ধান করা, অন্বেষণ করা
express,প্রকাশ করা, দ্রুতগামী
exquisite,অতি সূক্ষ্ম, চমৎকার
extend,প্রসারিত করা, বাড়ানো
extraordinary,অসাধারণ, অদ্ভুত
extreme,চরম, অত্যন্ত
fabulous,চমৎকার, অবিশ্বাস্য
face,মুখমণ্ডল, মুখোমুখি হওয়া
fact,তথ্য, সত্য ঘটনা
fade,বিবর্ণ হওয়া, ম্লান হওয়া
fail,ব্যর্থ হওয়া, অকৃতকার্য হওয়া
fair,মেলা, সুন্দর, নিরপেক্ষ
faithful,বিশ্বস্ত, অনুগত
false,মিথ্যা, অসত্য
famous,বিখ্যাত, নামকরা
fancy,কল্পনা, সৌখিন
far,দূরে, দূরবর্তী
fashion,ফ্যাশন, ধরণ, রূপ দেওয়া
fast,দ্রুত, উপবাস করা
fat,চর্বি, মোটা
